Model,Metric,seed42,seed123,seed456,mean,std,n_seeds
YOLOv8-OBB (baseline),AP,0.399677,0.401454,0.402987,0.401373,0.001657,3
YOLOv8-OBB (baseline),APs,0.353140,0.350612,0.356939,0.353563,0.003185,3
YOLOv8-OBB (baseline),APm,0.629066,0.638911,0.622551,0.630176,0.008236,3
YOLOv8-OBB (baseline),APl,0.333257,0.341152,0.346145,0.340185,0.006498,3
YOLOv8-OBB (baseline),AP50,0.577116,0.577418,0.587254,0.580596,0.005768,3
YOLOv8-OBB (baseline),AP75,0.484634,0.487684,0.488731,0.487016,0.002128,3
YOLOv8-OBB (baseline),Recall,0.842716,0.844494,0.843225,0.843478,0.000916,3
YOLOv8-OBB (baseline),Precision,0.941766,0.941310,0.947587,0.943554,0.003500,3
YOLOv11-OBB (baseline),AP,0.401471,0.404633,0.397395,0.401166,0.003629,3
YOLOv11-OBB (baseline),APs,0.352670,0.359594,0.349327,0.353863,0.005236,3
YOLOv11-OBB (baseline),APm,0.637396,0.635530,0.637954,0.636960,0.001270,3
YOLOv11-OBB (baseline),APl,0.355654,0.331424,0.329491,0.338856,0.014579,3
YOLOv11-OBB (baseline),AP50,0.578367,0.588073,0.577663,0.581368,0.005817,3
YOLOv11-OBB (baseline),AP75,0.484902,0.481992,0.473684,0.480193,0.005821,3
YOLOv11-OBB (baseline),Recall,0.851288,0.846473,0.846307,0.848023,0.002829,3
YOLOv11-OBB (baseline),Precision,0.941628,0.942869,0.944983,0.943160,0.001696,3
YOLOv26-OBB (baseline),AP,0.381483,0.384516,0.382681,0.382893,0.001527,3
YOLOv26-OBB (baseline),APs,0.338287,0.343853,0.340673,0.340938,0.002792,3
YOLOv26-OBB (baseline),APm,0.583904,0.572593,0.579559,0.578686,0.005706,3
YOLOv26-OBB (baseline),APl,0.346996,0.313864,0.332110,0.330990,0.016594,3
YOLOv26-OBB (baseline),AP50,0.567158,0.567289,0.567618,0.567355,0.000237,3
YOLOv26-OBB (baseline),AP75,0.461372,0.463232,0.461505,0.462036,0.001038,3
YOLOv26-OBB (baseline),Recall,0.818254,0.820343,0.821816,0.820138,0.001790,3
YOLOv26-OBB (baseline),Precision,0.934638,0.928603,0.932962,0.932068,0.003115,3
S2ANet (baseline),AP,0.121217,0.120232,0.121048,0.120832,0.000527,3
S2ANet (baseline),APs,0.115495,0.108567,0.115333,0.113132,0.003954,3
S2ANet (baseline),APm,0.174552,0.175998,0.185608,0.178719,0.006009,3
S2ANet (baseline),APl,0.118137,0.115614,0.112106,0.115286,0.003029,3
S2ANet (baseline),AP50,0.262307,0.258930,0.265305,0.262181,0.003190,3
S2ANet (baseline),AP75,0.113591,0.110485,0.111863,0.111980,0.001556,3
S2ANet (baseline),Recall,0.577156,0.561180,0.579918,0.572751,0.010116,3
S2ANet (baseline),Precision,0.600816,0.608738,0.609757,0.606437,0.004895,3
Oriented R-CNN (baseline),AP,0.126563,0.129496,0.125742,0.127267,0.001974,3
Oriented R-CNN (baseline),APs,0.125629,0.122106,0.122401,0.123379,0.001955,3
Oriented R-CNN (baseline),APm,0.176526,0.174705,0.172847,0.174693,0.001839,3
Oriented R-CNN (baseline),APl,0.142702,0.143300,0.145897,0.143966,0.001698,3
Oriented R-CNN (baseline),AP50,0.258049,0.258897,0.264914,0.260620,0.003742,3
Oriented R-CNN (baseline),AP75,0.125823,0.122053,0.123685,0.123854,0.001890,3
Oriented R-CNN (baseline),Recall,0.572004,0.572452,0.572938,0.572465,0.000467,3
