key,display,type,params_M,gflops,gflops_note,latency_mean_ms,latency_std_ms,fps,precision_latency,weights
orcnn,Oriented R-CNN,2-stage,41.125404,,N/A (custom ops),27.536858622916043,1.4679188673089925,36.314962926374065,float32,/gdata1/ranausman/ship_obb_v2/runs/orcnn/orcnn_seed42/epoch_100.pth
s2anet,S2ANet,1-stage,38.535436,,N/A (custom ops),37.41321872919798,3.9129592768648966,26.72852093368757,float32,/gdata1/ranausman/ship_obb_v2/runs/s2anet/s2anet_seed42/epoch_100.pth
yolov8_obb,YOLOv8-OBB,YOLO,26.4,207.9,,10.2,0.8,98.2,float16,/gdata1/ranausman/ship_obb_v2/runs/yolov8_obb/yolov8_obb_seed42/weights/best.pt
yolov11_obb,YOLOv11-OBB †,YOLO,20.9,184.0,,12.1,1.8,82.8,float16,/gdata1/ranausman/ship_obb_v2/runs/yolov11_obb/yolov11_obb_seed42/weights/best.pt
yolov26_obb,YOLOv26-OBB,YOLO,0.0,210.2,,18.960161576978862,1.721397828468089,52.74216656540442,float16,/gdata1/ranausman/ship_obb_v2/runs/yolov26_obb_medium/yolov26_obb_medium_seed42/train/weights/best.pt
ablation_A_p2,YOLOv11 + P2 head,ablation,21.0,236.3,,13.9,0.1,72.1,float16,/gdata1/ranausman/ship_obb_v2/runs/ablation_A_p2/ablation_A_p2_seed42/train/weights/best.pt
ablation_C_gem_gammafix,YOLOv11 + GEM,ablation,20.906838,184.381997056,,16.140434993430972,0.4899506964603949,61.95619885133158,float16,/gdata1/ranausman/ship_obb_v2/runs/ablation_C_gem_gammafix/ablation_C_gem_gammafix_seed42/train/weights/best.pt
idea1_lska,YOLOv11 + LSKA,idea,21.451478,193.579450368,,13.516867398284376,1.167187912461465,73.98163868404336,float16,/gdata1/ranausman/ship_obb_v2/runs/idea1_lska/idea1_lska_seed42/train/weights/best.pt
idea2_ema,YOLOv11 + EMA,idea,20.943702,184.637261824,,9.600339215248823,0.006769544036403559,104.16298607570418,float16,/gdata1/ranausman/ship_obb_v2/runs/idea2_ema/idea2_ema_seed42/train/weights/best.pt
idea3_msda,YOLOv11 + MSDA,idea,25.076752,236.665570816,,11.536517795175314,0.05481677558896047,86.68126879830324,float16,/gdata1/ranausman/ship_obb_v2/runs/idea3_msda/idea3_msda_seed42/train/weights/best.pt
idea4_dyconv,YOLOv11 + DyConv ★,PROPOSED,18.034846,145.382870016,,12.183061121031642,0.2253776568959485,82.08117730557045,float16,/gdata1/ranausman/ship_obb_v2/runs/idea4_dyconv/idea4_dyconv_seed42/train/weights/best.pt
idea5_csd_lkca_msdp,YOLOv11 + CSD,idea,22.269654,202.626564096,,14.698386862874031,2.1567609467419033,68.03467682061446,float16,/gdata1/ranausman/ship_obb_v2/runs/idea5_csd_lkca_msdp/idea5_csd_lkca_msdp_seed42/train/weights/best.pt
